QID,Question,A,B,C,D,Answer,PathID,PathLen,PrScores,EdgeScores,AvgPrScore,AvgEdgeScore,Path,Label,Prob
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,24,3,"[0.206192641924, 0.0126331050293, 0.00730323853336, 0.0019616777235]","[0.574756922627, 1.0, 0.572243278324]",0.0570226658025,0.71566673365,"rock cyclemetamorphic rockRock Cycle is the continual process by which new rock forms from old rock material is called the rock cycle.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,30,3,"[0.206192641924, 0.00924729465443, 0.00730323853336, 0.0019616777235]","[0.574756922627, 1.0, 0.572243278324]",0.0561762132088,0.71566673365,"rock cyclemetamorphic rockRock Cycle is the continual process by which new rock forms from old rock material is called the rock cycle.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,31,4,"[0.0436075565457, 0.0050986505658, 0.000313961598814, 0.00730323853336, 0.0019616777235]","[0.591307392471, 0.562732987612, 1.0, 0.572243278324]",0.0116570169934,0.681570914602,"liquid magmametamorphic rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.volcanic glass is rock that forms when lava cools too quickly to form crystals. biochemical rock is sedimentary rock that was formed by organisms or contains the remains of organisms.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,32,4,"[0.0436075565457, 0.0050986505658, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[0.591307392471, 1.0, 1.10804764969, 0.572243278324]",0.0128539963655,0.817899580121,"liquid magmametamorphic rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,33,4,"[0.0436075565457, 0.0050986505658, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[0.591307392471, 1.0, 0.952422547563, 0.653833181902]",0.0119920330331,0.799390780484,liquid magmametamorphic rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,34,4,"[0.0436075565457, 0.0050986505658, 0.00497276440896, 0.00730323853336, 0.0019616777235]","[0.591307392471, 1.0, 0.782992353928, 0.572243278324]",0.0125887775555,0.736635756181,"liquid magmametamorphic rockLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.Igneous Rocks is Forms when hot liquid rock cools and hardens.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,35,4,"[0.0436075565457, 0.00600553995798, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[0.70867051633, 0.820416696852, 1.10804764969, 0.572243278324]",0.0130353742439,0.802344535299,"liquid magmametamorphic rockigneous rock is formed from magma.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,36,4,"[0.0436075565457, 0.00600553995798, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[0.70867051633, 0.820416696852, 0.952422547563, 0.653833181902]",0.0121734109115,0.783835735662,liquid magmametamorphic rockigneous rock is formed from magma.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,39,4,"[0.200184697477, 0.00692276097245, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.425867941794, 1.10804764969, 0.572243278324]",0.0445342466331,0.776539717452,"coolmetamorphic rockIgneous Rock is forms when magma or lava cools.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,40,4,"[0.200184697477, 0.00692276097245, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.425867941794, 0.952422547563, 0.653833181902]",0.0436722833007,0.758030917815,coolmetamorphic rockIgneous Rock is forms when magma or lava cools.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.252139
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,0,1,"[0.0436075565457, 0.0050986505658]",[0.591307392471],0.0243531035557,0.591307392471,liquid magmalavaLava is Liquid magma that reaches the surface; also the rock formed when liquid lava hardens.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,2,2,"[0.206192641924, 0.0108029444797, 0.00629885845911]","[0.686603173453, 1.0]",0.0744314816209,0.843301586727,rock cycleigneous rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,3,4,"[0.206192641924, 0.0108029444797, 0.0019616777235, 0.00730323853336, 0.00629885845911]","[0.686603173453, 1.0, 0.572243278324, 1.10804764969]",0.0465118722239,0.841723525367,"rock cycleigneous rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,4,4,"[0.206192641924, 0.0108029444797, 0.0019616777235, 0.0029934218712, 0.00629885845911]","[0.686603173453, 1.0, 0.653833181902, 0.952422547563]",0.0456499088915,0.82321472573,rock cycleigneous rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,5,4,"[0.206192641924, 0.0108029444797, 0.00497276440896, 0.00730323853336, 0.00629885845911]","[0.686603173453, 1.0, 0.782992353928, 1.10804764969]",0.047114089561,0.894410794268,rock cycleigneous rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.Igneous Rocks is Forms when hot liquid rock cools and hardens.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,6,3,"[0.206192641924, 0.0108029444797, 0.00112342123084, 0.00629885845911]","[0.686603173453, 1.0, 0.686603173453]",0.0561044665234,0.791068782302,rock cycleigneous rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.Rock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,17,2,"[0.200184697477, 0.00812220916398, 0.00629885845911]","[1.0, 0.771587380217]",0.0715352550334,0.885793690108,cooligneous rockIntrusive igneous rocks is igneous rock that forms when magma cools and solidifies within the Earth - Forms crystals in rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,18,2,"[0.200184697477, 0.00907311889547, 0.00629885845911]","[1.0, 0.761826851956]",0.0718522249439,0.880913425978,"cooligneous rockIgneous Rock is this rock forms when hot, liquid rock, or magma, cools and solidifies.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,19,3,"[0.0628796258204, 0.00272117778241, 0.00447764823282, 0.00629885845911]","[0.69658436484, 1.0, 0.799760936265]",0.0190943275737,0.832115100368,solidigneous rockigneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid.igneous rock is rock formed by the solidification of molten magma.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,20,2,"[0.0628796258204, 0.00447764823282, 0.00629885845911]","[1.0, 0.799760936265]",0.0245520441708,0.899880468132,solidigneous rockigneous rock is rock formed by the solidification of molten magma.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,22,2,"[0.0628796258204, 0.00907311889547, 0.00629885845911]","[1.0, 0.761826851956]",0.026083867725,0.880913425978,"solidigneous rockIgneous Rock is this rock forms when hot, liquid rock, or magma, cools and solidifies.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,23,2,"[0.0628796258204, 0.00812220916398, 0.00629885845911]","[1.0, 0.771587380217]",0.0257668978145,0.885793690108,solidigneous rockIntrusive igneous rocks is igneous rock that forms when magma cools and solidifies within the Earth - Forms crystals in rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,25,4,"[0.206192641924, 0.0108029444797, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[0.686603173453, 1.0, 1.10804764969, 0.572243278324]",0.0465118722239,0.841723525367,"rock cyclemetamorphic rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,26,4,"[0.206192641924, 0.0108029444797, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[0.686603173453, 1.0, 0.952422547563, 0.653833181902]",0.0456499088915,0.823214725729,rock cyclemetamorphic rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,27,2,"[0.206192641924, 0.0108029444797, 0.0019616777235]","[0.686603173453, 1.0]",0.0729857547091,0.843301586727,rock cyclemetamorphic rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,28,3,"[0.206192641924, 0.0108029444797, 0.00178755242058, 0.0019616777235]","[0.686603173453, 1.0, 0.686603173453]",0.0551862041369,0.791068782302,rock cyclemetamorphic rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.Metamorphic rock can change into igneous or sedimentary rock.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,29,4,"[0.206192641924, 0.0108029444797, 0.00497276440896, 0.00730323853336, 0.0019616777235]","[0.686603173453, 1.0, 0.782992353928, 0.572243278324]",0.0462466534139,0.760459701426,"rock cyclemetamorphic rockRock Cycle is Igneous rock can change into sedimentary rock or into metamorphic rock.Igneous Rocks is Forms when hot liquid rock cools and hardens.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,41,4,"[0.200184697477, 0.00812220916398, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.771587380217, 1.10804764969, 0.572243278324]",0.0447741362714,0.862969577058,"coolmetamorphic rockIntrusive igneous rocks is igneous rock that forms when magma cools and solidifies within the Earth - Forms crystals in rock.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,42,4,"[0.200184697477, 0.00812220916398, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.771587380217, 0.952422547563, 0.653833181902]",0.043912172939,0.84446077742,coolmetamorphic rockIntrusive igneous rocks is igneous rock that forms when magma cools and solidifies within the Earth - Forms crystals in rock.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,43,4,"[0.200184697477, 0.00907311889547, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.761826851956, 1.10804764969, 0.572243278324]",0.0449643182177,0.860529444993,"coolmetamorphic rockIgneous Rock is this rock forms when hot, liquid rock, or magma, cools and solidifies.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,44,4,"[0.200184697477, 0.00907311889547, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.761826851956, 0.952422547563, 0.653833181902]",0.0441023548853,0.842020645355,"coolmetamorphic rockIgneous Rock is this rock forms when hot, liquid rock, or magma, cools and solidifies.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,45,4,"[0.0628796258204, 0.00447764823282, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.799760936265, 1.10804764969, 0.572243278324]",0.0165842097538,0.87001296607,"solidmetamorphic rockigneous rock is rock formed by the solidification of molten magma.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,46,4,"[0.0628796258204, 0.00447764823282, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.799760936265, 0.952422547563, 0.653833181902]",0.0157222464214,0.851504166433,solidmetamorphic rockigneous rock is rock formed by the solidification of molten magma.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.,2.0,0.221706
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,15,2,"[0.200184697477, 0.0095753284814, 0.00629885845911]","[1.0, 0.596108720925]",0.0720196281392,0.798054360463,"cooligneous rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.",1.0,0.237973
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,21,2,"[0.0628796258204, 0.0095753284814, 0.00629885845911]","[1.0, 0.596108720925]",0.0262512709203,0.798054360463,"solidigneous rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.",1.0,0.237973
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,37,4,"[0.200184697477, 0.0095753284814, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.596108720925, 1.10804764969, 0.572243278324]",0.0450647601349,0.819099912235,"coolmetamorphic rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",1.0,0.237973
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,38,4,"[0.200184697477, 0.0095753284814, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.596108720925, 0.952422547563, 0.653833181902]",0.0442027968024,0.800591112598,"coolmetamorphic rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.",1.0,0.237973
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,47,4,"[0.0628796258204, 0.0095753284814, 0.00629885845911, 0.00730323853336, 0.0019616777235]","[1.0, 0.596108720925, 1.10804764969, 0.572243278324]",0.0176037458036,0.819099912235,"solidmetamorphic rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.igneous rock is Forms when hot magma cools and becomes solid./igneous rock is Forms when hot liquid rock cools and hardens./igneous rock is forms as molten rock cools and becomes solid./Igneous Rock is Forms as molten rock cools and becomes solid./Igneous rock is Forms when magma or lava cools.metamorphic rock is Forms when heat, pressure, pressure, or fluids act on igneous, sedimentary, or other metamorphic rock and affect its form or composition, or both.",1.0,0.237973
7013668,"According to the rock cycle, when liquid magma cools into a solid, what is formed? ", lava , glaciers , igneous rock , metamorphic rock,C,48,4,"[0.0628796258204, 0.0095753284814, 0.00629885845911, 0.0029934218712, 0.0019616777235]","[1.0, 0.596108720925, 0.952422547563, 0.653833181902]",0.0167417824711,0.800591112598,"solidmetamorphic rockIgneous Rock is rock that forms when hot, liquid rock, or magma, cools and solidifies, the word means fire in Latin.igneous rock is rock formed when magma or lava cools and hardens./igneous rock is A rock formed when magma or lava cools and hardens.metamorphic rock  is rock formed when existing rock is squeezed or partially melted.",1.0,0.237973
